startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
WanderOn,Online Travel,Series A,5940000.0,DSG Consumer Partners,,,2026-05-25,Haryana
Zerocircle,Packaging Tech,Seed,546000.0,3one4 Capital,,,2026-05-25,Maharashtra
Juspay,Payments,Series D,,WestBridge Capital,,,2026-05-25,Karnataka
Dr Doodley,Pet Tech,Seed,2210000.0,V3 Ventures,,,2026-05-25,Karnataka
Dr Doodley,Pet Tech,Debt,1110000.0,V3 Ventures,,,2026-05-25,Karnataka
Nootie,Pet Tech,Angel,111000.0,Namita Thapar,,,2026-05-25,Delhi
Natturz,Plant-based Dairy,Seed,1000000.0,35North Ventures,,,2026-05-25,Delhi
AGI Infra,Real Estate,Post-IPO,8119999.999999999,Craft Emerging Market Fund,,,2026-05-25,Punjab
Hero Realty,Real Estate & Construction,Debt,127000000.0,IndusInd Bank,,,2026-05-25,"Delhi, India"
HomeRun,Real Estate & Construction Tech > Construction Tech,Series A,6600000.0,Sorin,,,2026-05-25,Karnataka
Kelvin6k,Real Estate & Construction Tech > Construction Tech,Angel,110000.0,Ritesh Agarwal,,,2026-05-25,Tamil Nadu
Weaver,Real Estate - Affordable Housing,Unattributed,156000000.0,Premji Invest,,,2026-05-25,Maharashtra
PropertyPistol Realty,Real Estate IT,Series A,2730000.0,Ashish Kacholia,,,2026-05-25,Maharashtra
Flent,Real Estate Tech,Debt,444000.0,Incubate Fund India,,,2026-05-25,Karnataka
Flent,Real Estate Tech,Seed,1890000.0,Incubate Fund India,,,2026-05-25,Karnataka
Mahagun Group,Real Estate and Construction > Real Estate & Infrastructure Developers,Debt,24000000.0,CSL Finance,,,2026-05-25,Uttar Pradesh
Mtandt,Real Estate and Construction Tech > Construction Tech,Series A,10600000.0,ValueQuest,,,2026-05-25,Tamil Nadu
Proxgy,Real Estate and Construction Tech > Construction Tech,Angel,213000.0,Culture Cap,,,2026-05-25,Haryana
Spintly,Real Estate and Construction Tech > Facility Management Tech,Series A,8000000.0,Accel,,,2026-05-25,"California, Goa"
Sukino,Rehabilitation & Long-Term Care,Series B,31000000.0,Bessemer Venture Partners,,,2026-05-25,Karnataka
Japam,Religion Tech,Angel,166000.0,Namita Thapar,,,2026-05-25,Punjab
Aerem,Renewable Energy Tech,Series A,15000000.0,SMBC Asia Rising Fund,,,2026-05-25,Maharashtra
GreenTech,Renewable Energy Tech,Seed,3330000.0,Transition VC,,,2026-05-25,Tamil Nadu
GreenTech,Renewable Energy Tech,Debt,,Transition VC,,,2026-05-25,Tamil Nadu
Truva,Residential Real Estate Tech,Venture Debt,1700000.0,Stride Ventures,,,2026-05-25,Maharashtra
Gubbachhi,Retail,Seed,158000.0,D2C Insider,,,2026-05-25,"Karnataka, India"
Legend of Toys,Retail,Seed,2190000.0,Singularity AMC,,,2026-05-25,Karnataka
The EleFant,Retail,Seed,1000000.0,Growth Sense,,,2026-05-25,Maharashtra
Laani,Retail - Beauty Tech,Seed,984000.0,V3 Ventures,,,2026-05-25,Gujarat
Mannlich,Retail - Beauty Tech,Seed,294000.0,BeyondSeed,,,2026-05-25,Uttarakhand
Pinq,Retail - Beauty Tech,Seed,431000.0,Inflection Point Ventures,,,2026-05-25,Delhi
Confluxe,Retail - Brands Tech,Seed,1600000.0,Wavemaker Partners,,,2026-05-25,Karnataka
Assiduus,Retail - Cross Border Commerce,Series A,25000000.0,Bajaj Finserv,,,2026-05-25,Karnataka
Magical Nest,Retail - Mom & Baby Care,Seed,439000.0,Stargazer Fund,,,2026-05-25,Karnataka
Moe Puppy,Retail - Pet Tech,Seed,217000.0,PedalStart,,,2026-05-25,Haryana
Zoomies,Retail - Pet Tech,Seed,541000.0,D2C Insider,,,2026-05-25,Maharashtra
Swageazy,Retail > B2B E-Commerce,Seed,584000.0,Info Edge Ventures,,,2026-05-25,Haryana
Bubble Me,Retail > Beauty Tech,Seed,164000.0,ajvc,,,2026-05-25,"Haryana, India"
Clayco,Retail > Beauty Tech,Series A,3300000.0,Twenty Nine Capital Partners,,,2026-05-25,Maharashtra
LUZO,Retail > Beauty Tech,Angel,109000.0,100X.VC,,,2026-05-25,"Maharashtra, India"
Nailinit,Retail > Beauty Tech,Seed,330000.0,Gruhas Collective Consumer Fund,,,2026-05-25,Maharashtra
RAS Luxury Oils,Retail > Beauty Tech,Series B,7500000.0,Dabur,,,2026-05-25,Chhattisgarh
ShowroomB2B,Retail > Brands Tech,Debt,,Alteria Capital,,,2026-05-25,Uttar Pradesh
Edify.Club,Retail > Consumer Electronics E-Commerce,Angel,,Ravi Bishnoi,,,2026-05-25,Karnataka
Grest,Retail > Consumer Electronics E-Commerce,Seed,,ICMG Group,,,2026-05-25,Haryana
Kreo,Retail > Consumer Electronics E-Commerce,Angel,110000.0,Ritesh Agarwal,,,2026-05-25,Karnataka
Kreo,Retail > Consumer Electronics E-Commerce,Debt,110000.0,Ritesh Agarwal,,,2026-05-25,Karnataka
GoSats,Retail > Coupons and Deals,Series A,5000000.0,Konvoy Ventures,,,2026-05-25,Karnataka
GoSats,Retail > Coupons and Deals,Series A,5000000.0,Y Combinator,,,2026-05-25,Karnataka
Inamo,Retail > E-Commerce Enablers,Series A,6000000.0,Prime Venture Partners,,,2026-05-25,Maharashtra
Inamo,Retail > E-Commerce Enablers,Venture Debt,2000000.0,Prime Venture Partners,,,2026-05-25,Maharashtra
Basil,Retail > Home Improvements,Seed,2000000.0,Prime Venture Partners,,,2026-05-25,Karnataka
Home Essentials,Retail > Home Improvements,Series A,7700000.0,360 One,,,2026-05-25,Madhya Pradesh
MeMeraki,Retail > Home Improvements,Angel,110000.0,Varun Alagh,,,2026-05-25,Haryana
Nester,Retail > Home Improvements,Seed,2100000.0,Fireside Ventures,,,2026-05-25,Haryana
Epik,Retail > Horizontal E-Commerce,Seed,1000000.0,Info Edge Ventures,,,2026-05-25,Karnataka
Innoviti,Retail > In Store Retail Tech,Unattributed,11400000.0,Bessemer Venture Partners,,,2026-05-25,Karnataka
Filliandme,Retail > Mom & Baby Care,Seed,161000.0,D2C Insider,,,2026-05-25,Haryana
Filliandme,Retail > Mom & Baby Care,Debt,,D2C Insider,,,2026-05-25,Haryana
Kidbea,Retail > Mom & Baby Care,Series A,3200000.0,Enrission India Capital,,,2026-05-25,Uttar Pradesh
Panda's Box,Retail > Mom & Baby Care,Angel,132000.0,Aman Gupta,,,2026-05-25,Delhi
RN Kids,Retail > Mom & Baby Care,Seed,760000.0,Ashish Kacholia,,,2026-05-25,Maharashtra
